Rank,Player,Receptions,Targets,Receiving Yards,Yards Per Reception,Longest Reception,Receiving Touchdowns,Rush Attempts,Rushing Yards,Rushing Touchdowns,Fumbles Lost,Games Played,Total Fantasy Points,Fantasy Points Per Game,Roster Percentage
155,DeMichael Harris (IND),10,10,79,7.9,21,0,6,46,0,0,7,12.5,1.8,0.00%
156,Ray-Ray McCloud (PIT),20,22,77,3.9,13,0,4,65,0,1,16,12.2,0.8,0.40%
157,Chris Hogan (FA),14,26,118,8.4,27,0,0,0,0,0,5,11.8,2.4,0.00%
158,Dante Pettis (NYG),4,6,76,19,33,1,0,0,0,1,7,11.6,1.7,0.20%
159,Javon Wims (LV),6,12,48,8,13,1,1,2,0,0,13,11,0.8,0.00%
160,Jamal Agnew (JAC),13,20,89,6.8,20,0,6,33,0,1,14,10.9,0.8,2.30%
161,Alex Erickson (CAR),12,17,139,11.6,42,0,5,7,0,2,16,10.6,0.7,0.00%
162,Lil'Jordan Humphrey (NO),3,5,46,15.3,17,1,0,0,0,0,3,10.6,3.5,0.10%
163,Diontae Spencer (DEN),3,6,26,8.7,10,0,3,19,0,0,11,10.5,1,0.10%
164,J.J. Arcega-Whiteside (PHI),4,8,85,21.3,37,0,0,0,0,0,8,10.5,1.3,0.10%
165,C.J. Board (NYG),11,16,101,9.2,16,0,1,3,0,0,14,10.4,0.7,0.00%
166,Justin Watson (TB),7,11,94,13.4,36,0,0,0,0,0,11,9.4,0.9,0.00%
167,Austin Mack (FA),7,11,91,13,50,0,0,0,0,0,11,9.1,0.8,0.00%
168,Joe Reed (LAC),0,1,0,0,0,0,5,29,1,0,11,8.9,0.8,0.00%
169,Parris Campbell (IND),6,9,71,11.8,21,0,2,16,0,0,2,8.7,4.4,4.70%
170,Austin Carr (FA),3,4,27,9,11,1,0,0,0,0,6,8.7,1.5,0.00%
171,Trent Taylor (CIN),10,21,86,8.6,29,0,0,0,0,0,12,8.6,0.7,0.00%
172,Jake Kumerow (BUF),1,1,22,22,22,1,0,0,0,0,6,8.2,1.4,0.10%
173,Pharoh Cooper (NYG),5,8,73,14.6,32,0,0,0,0,0,16,7.3,0.5,0.00%
174,Courtland Sutton (DEN),3,6,66,22,45,0,0,0,0,0,1,6.6,6.6,79.80%
175,Ashton Dulin (IND),3,6,53,17.7,34,0,2,11,0,0,13,6.4,0.5,0.10%
176,Tyrie Cleveland (FA),6,9,63,10.5,17,0,0,0,0,0,10,6.3,0.6,0.00%
177,Damion Ratley (FA),4,10,63,15.8,29,0,0,0,0,0,5,6.3,1.3,0.00%
178,Ja'Marcus Bradley (CLE),5,11,60,12,22,0,0,0,0,0,3,6,2,0.00%
179,Steven Mitchell Jr. (FA),5,8,60,12,20,0,0,0,0,0,6,6,1,0.00%
180,Jaydon Mickens (JAC),7,10,58,8.3,11,0,0,0,0,0,10,5.8,0.6,0.00%
181,Nick Westbrook-Ikhine (TEN),3,8,33,11,19,0,0,0,0,0,14,5.3,0.4,8.10%
182,KJ Hill Jr. (LAC),7,11,73,10.4,25,0,0,0,0,1,15,5.3,0.4,0.10%
183,Isaiah Zuber (FA),2,2,29,14.5,16,0,2,21,0,0,4,5,1.3,0.00%
184,Trent Sherfield (SF),5,7,50,10,26,0,0,0,0,0,15,5,0.3,0.10%
185,River Cracraft (SF),6,9,41,6.8,12,0,0,0,0,0,9,4.1,0.5,0.00%
186,Ted Ginn Jr. (FA),3,6,40,13.3,29,0,0,0,0,0,5,4,0.8,0.00%
187,Riley Ridley (FA),4,4,39,9.8,18,0,0,0,0,0,5,3.9,0.8,0.00%
188,Juwan Johnson (NO),4,10,39,9.8,19,0,0,0,0,0,7,3.9,0.6,2.00%
189,Robert Foster (DAL),2,6,37,18.5,28,0,0,0,0,0,4,3.7,0.9,0.00%
190,Brandon Zylstra (CAR),3,4,35,11.7,28,0,1,1,0,0,16,3.6,0.2,0.10%
191,Terry Godwin (JAC),3,6,32,10.7,21,0,1,3,0,0,3,3.5,1.2,0.00%
192,Lawrence Cager (CLE),2,6,35,17.5,19,0,0,0,0,0,2,3.5,1.8,0.00%
193,Seth Roberts (FA),4,6,31,7.8,12,0,0,0,0,0,7,3.1,0.4,0.00%
