Rank,Player,Receptions,Targets,Receiving Yards,Yards Per Reception,Longest Reception,Receiving Touchdowns,Rush Attempts,Rushing Yards,Rushing Touchdowns,Fumbles Lost,Games Played,Total Fantasy Points,Fantasy Points Per Game,Roster Percentage
323,C.J. Saunders (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
324,Mike Strachan (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
325,Donte Sylencieux (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
326,Tim Jones (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
327,Dillon Stoner (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
328,DJ Turner (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
329,Connor Wedington (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
330,JoJo Ward (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
331,Kadarius Toney (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,38.40%
332,Seth Williams (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
333,T.J. Vasher (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
334,Ihmir Smith-Marsette (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
335,Elijah Moore (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,75.50%
336,Dyami Brown (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0.50%
337,Dez Fitzpatrick (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.60%
338,Demetric Felton (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
339,Pooka Williams Jr. (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
340,Dazz Newsome (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
341,Andre Baccellia (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
342,Maurice Ffrench (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
343,Jeff Cotton (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
344,J.J. Koski (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
345,Aleva Hifo (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
346,Josh Hammond (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
347,Matt Cole (CAR),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
348,Marquez Stevenson (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
349,Amari Rodgers (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0.40%
350,Nico Collins (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,1.20%
351,Shi Smith (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
352,Tutu Atwell (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
353,Anthony Schwartz (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0.30%
354,Travis Benjamin (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
355,Patrick Edwards (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
356,Michael Calvin (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
357,Eron Riley (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
358,Josh Gordon (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,1.40%
359,Andy Fantuz (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
360,Taj Smith (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
361,Demario Ballard (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
362,Tony Brown (FA),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
363,Jaron Brown (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
364,Jordan Matthews (SF),0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
365,Marquise Goodwin (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.80%
366,Tavon Austin (JAC),5,5,20,4,7,0,0,0,0,1,4,0,0,0.00%
367,John Standeford (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
368,Lance Long (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
369,Kenny McKinley (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
370,Juaquin Iglesias (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
371,Bobby Wade (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
372,Chris Henry (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
373,Tyler Grisham (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
374,Todd Watkins (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
375,Dominique Edison (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
376,Jeremy Williams (LAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
377,Onrea Jones (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
378,Nate Hughes (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
379,Mike Furrey (WAS),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
380,Maurice Purify (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
381,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,15,0,0,0.00%
382,Marko Mitchell (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
383,Sam Giguere (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
384,Rod Harper (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
385,Cody Core (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
386,Chris Moore (HOU),0,0,0,0,0,0,0,0,0,0,3,0,0,0.10%
387,Tajae Sharpe (ATL),0,3,0,0,0,0,0,0,0,0,4,0,0,1.40%
388,Geronimo Allison (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
389,Johnny Holton (NYG),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
390,Darius Jennings (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
391,Bug Howard (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
392,Robert Davis (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
393,Rodney Adams (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
394,Tanner Gentry (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
395,Shelton Gibson (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
396,Amara Darboh (DEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
397,Ryan Switzer (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
398,Taywan Taylor (FA),0,1,0,0,0,0,0,0,0,0,3,0,0,0.00%
399,Justin Hardee (NYJ),0,0,0,0,0,0,0,0,0,0,10,0,0,0.00%
400,Reece Horn (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
401,Andy Jones (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
402,Chester Rogers (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
403,Duke Williams (FA),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
404,Jake Lampman (NO),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
405,Marken Michel (WAS),0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
406,Allen Hurns (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
407,Albert Wilson (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0.70%
408,Ty Montgomery (NO),3,6,27,9,17,0,19,101,0,0,6,0,0,0.20%
409,J.J. Nelson (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
410,Phillip Dorsett II (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
411,Justin Hardy (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
412,Devin Funchess (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
413,Kevin White (FA),0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
414,Kendall Hinton (DEN),0,0,0,0,0,0,2,7,0,0,1,-0.8,-0.8,0.00%
415,Andre Roberts (LAC),4,5,34,8.5,16,0,1,-3,0,2,15,-0.9,-0.1,0.00%
416,DeAndre Carter (WAS),1,2,8,8,8,0,0,0,0,1,13,-1.2,-0.1,3.10%
417,Dede Westbrook (MIN),1,1,4,4,4,0,0,0,0,1,2,-1.6,-0.8,0.10%
418,Nsimba Webster (CHI),0,0,0,0,0,0,0,0,0,1,16,-2,-0.1,0.00%
419,Dwayne Harris (FA),0,0,0,0,0,0,0,0,0,1,3,-2,-0.7,0.00%
