Rank,Player,Rush Attempts,Rushing Yards,Rushing Yards Per Attempt,Longest Run,Rushing Touchdowns,Receptions,Targets,Receiving Yards,Yards Per Reception,Receiving Touchdowns,Fumbles Lost,Games Played,Total Fantasy Points,Fantasy Points Per Game,Roster Percentage
56,Sony Michel (LAR),79,449,5.7,48,1,7,9,114,16.3,1,0,9,68.3,7.6,42.80%
57,James White (NE),35,121,3.5,10,2,49,62,375,7.7,1,0,14,67.6,4.8,8.80%
58,Kalen Ballage (PIT),91,303,3.3,17,3,29,37,166,5.7,0,0,11,64.9,5.9,0.20%
59,Benny Snell Jr. (PIT),111,368,3.3,30,4,10,14,61,6.1,0,1,16,64.9,4.1,0.80%
60,Kyle Juszczyk (SF),17,64,3.8,10,2,19,29,202,10.6,4,0,16,62.6,3.9,1.00%
61,Phillip Lindsay (MIA),118,502,4.3,55,1,7,14,28,4,0,0,11,59,5.4,11.40%
62,Le'Veon Bell (FA),82,328,4,16,2,16,20,138,8.6,0,0,11,58.6,5.3,1.90%
63,Joshua Kelley (LAC),111,354,3.2,33,2,23,23,148,6.4,0,2,14,58.2,4.2,0.50%
64,Salvon Ahmed (MIA),75,319,4.3,31,3,11,14,61,5.5,0,0,6,58,9.7,2.40%
65,Duke Johnson Jr. (MIA),77,235,3.1,23,1,28,35,249,8.9,1,2,11,56.4,5.1,0.10%
66,Samaje Perine (CIN),63,301,4.8,46,3,11,12,66,6,0,0,16,54.7,3.4,6.30%
67,Kerryon Johnson (FA),52,181,3.5,14,2,19,26,187,9.8,1,1,16,52.8,3.3,0.10%
68,Peyton Barber (LV),94,258,2.7,15,4,4,7,12,3,0,0,16,51,3.2,0.70%
69,Jordan Wilkins (JAC),84,308,3.7,22,1,12,16,105,8.8,0,0,15,49.3,3.3,0.00%
70,Ty Johnson (NYJ),54,254,4.7,34,1,16,21,99,6.2,1,0,13,47.3,3.6,24.50%
71,Mark Ingram II (NO),72,299,4.2,30,2,6,8,50,8.3,0,0,11,46.9,4.3,74.90%
72,Justin Jackson (LAC),59,270,4.6,36,0,19,24,173,9.1,0,0,9,46.3,5.1,1.20%
73,La'Mical Perine (NYJ),64,232,3.6,20,2,11,15,63,5.7,0,0,10,41.5,4.2,0.20%
74,Ito Smith (FA),63,268,4.3,24,1,17,26,75,4.4,0,0,14,40.3,2.9,0.00%
75,DeeJay Dallas (SEA),34,108,3.2,13,2,17,20,111,6.5,1,0,12,39.9,3.3,4.80%
76,AJ Dillon (GB),46,242,5.3,30,2,2,2,21,10.5,0,0,11,38.3,3.5,90.70%
77,Dion Lewis (FA),29,115,4,19,2,19,30,127,6.7,1,2,16,38.2,2.4,2.00%
78,Alfred Morris (NYG),55,238,4.3,20,1,3,4,19,6.3,1,0,9,37.7,4.2,0.00%
79,Darrel Williams (KC),39,169,4.3,13,1,18,26,116,6.4,0,0,16,36.5,2.3,65.20%
80,Matt Breida (BUF),59,254,4.3,24,0,9,10,96,10.7,0,1,12,33,2.8,29.20%
81,Jalen Richard (LV),22,123,5.6,20,1,19,23,138,7.3,0,0,13,32.1,2.5,0.20%
82,Jeremy McNichols (TEN),47,204,4.3,20,1,12,17,55,4.6,0,0,16,31.9,2,12.20%
83,Josh Adams (NO),29,157,5.4,25,2,6,8,29,4.8,0,0,8,30.6,3.8,0.00%
84,Jordan Howard (PHI),35,60,1.7,11,4,1,1,-3,-3,0,0,7,29.7,4.2,11.60%
85,Devonta Freeman (BAL),54,172,3.2,14,1,7,10,58,8.3,0,0,5,29,5.8,72.80%
86,Rodney Smith (TEN),41,156,3.8,13,1,9,11,59,6.6,0,0,7,27.5,3.9,0.10%
87,Darwin Thompson (TB),27,97,3.6,14,1,7,11,65,9.3,1,1,13,26.2,2,0.00%
88,Royce Freeman (HOU),35,170,4.9,23,0,12,13,81,6.8,0,0,16,25.1,1.6,0.60%
89,JaMycal Hasty (SF),39,148,3.8,20,1,7,8,33,4.7,0,0,8,24.1,3,0.50%
90,Travis Homer (SEA),25,88,3.5,12,0,9,10,90,10,1,0,9,23.8,2.6,0.60%
91,Chris Thompson (FA),7,20,2.9,5,0,20,23,146,7.3,1,0,8,22.6,2.8,0.00%
92,Ameer Abdullah (CAR),8,42,5.3,13,0,8,9,58,7.3,2,0,16,22,1.4,2.90%
93,Antonio Williams (BUF),12,63,5.3,18,2,1,1,20,20,0,0,1,20.3,20.3,0.00%
94,Alex Collins (SEA),18,77,4.3,13,2,1,2,4,4,0,0,3,20.1,6.7,40.00%
95,Dare Ogunbowale (JAC),32,145,4.5,25,0,10,20,54,5.4,0,0,14,19.9,1.4,0.10%
