Rank,Player,Receptions,Targets,Receiving Yards,Yards Per Reception,Longest Reception,Receiving Touchdowns,Rush Attempts,Rushing Yards,Rushing Touchdowns,Fumbles Lost,Games Played,Total Fantasy Points,Fantasy Points Per Game,Roster Percentage
109,Jeremy Sprinkle (DAL),1,3,6,6,6,0,0,0,0,0,16,0.6,0,0.00%
110,Brandon Dillon (MIN),1,1,6,6,6,0,0,0,0,0,3,0.6,0.2,0.00%
111,Trevon Wesco (NYJ),1,2,5,5,5,0,1,0,0,0,12,0.5,0,0.00%
112,Jake Butt (FA),2,4,5,2.5,5,0,0,0,0,0,5,0.5,0.1,0.10%
113,Isaac Nauta (GB),1,2,3,3,3,0,0,0,0,0,7,0.3,0,0.00%
114,Bruce Miller (FA),1,2,2,2,2,0,0,0,0,0,8,0.2,0,0.00%
115,Marcus Baugh (FA),1,1,2,2,2,0,0,0,0,0,8,0.2,0,0.00%
116,Luke Farrell (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
117,Mitchell Wilcox (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
118,Juwan Johnson (NO),4,10,39,9.8,19,0,0,0,0,0,7,0,0,2.00%
119,Noah Gray (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
120,Thaddeus Moss (CIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
121,Brycen Hopkins (LAR),0,0,0,0,0,0,0,0,0,0,4,0,0,0.10%
122,Parker Hesse (ATL),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
123,Chris Myarick (NYG),0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
124,Jared Pinkney (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
125,Jake Breeland (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
126,Stephen Sullivan (CAR),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
127,Chase Harrell (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
128,Tommy Hudson (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
129,Rysen John (NYG),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
130,Sean Culkin (FA),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
131,Eli Wolf (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
132,Farrod Green (IND),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
133,Nick Bowers (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
134,Jake Bargas (MIN),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
135,Brevin Jordan (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0.30%
136,Pat Freiermuth (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,65.90%
137,Tyler Mabry (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
138,Charlie Taumoepeau (DET),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
139,Noah Togiai (PHI),0,1,0,0,0,0,0,0,0,0,4,0,0,0.00%
140,Sean McKeon (DAL),0,0,0,0,0,0,0,0,0,0,14,0,0,0.00%
141,Giovanni Ricci (CAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
142,Tyler Davis (GB),0,2,0,0,0,0,0,0,0,0,8,0,0,0.00%
143,Tommy Stevens (NYG),0,0,0,0,0,0,4,24,0,0,1,0,0,0.10%
144,Reggie Gilliam (BUF),2,2,16,8,15,1,0,0,0,0,14,0,0,0.00%
145,Rashod Berry (DET),0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
146,Donnie Ernsberger (TEN),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
147,Tyree Jackson (PHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
148,Caleb Wilson (FA),0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
149,Josh Oliver (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
150,Dax Raymond (PIT),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
151,Kevin Rader (PIT),0,1,0,0,0,0,0,0,0,0,1,0,0,0.00%
152,Zach Gentry (PIT),0,0,0,0,0,0,0,0,0,0,2,0,0,0.10%
153,Andrew Beck (DEN),0,0,0,0,0,0,0,0,0,0,10,0,0,0.00%
154,Jesper Horsted (CHI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
155,Carson Meier (MIA),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
156,Hakeem Butler (PHI),0,1,0,0,0,0,0,0,0,0,2,0,0,0.00%
157,Kendall Blanton (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
158,Tommy Sweeney (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0.80%
159,Daniel Helm (LV),0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
160,Codey McElroy (TB),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
161,Ian Bunting (DAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
162,David Wells (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
163,Mitchell Fraboni (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
164,Matt Sokol (JAC),0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
165,Matthew Orzech (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
166,John Lovett (FA),0,0,0,0,0,0,3,6,0,0,8,0,0,0.00%
167,Hale Hentges (FA),0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
168,Jordan Franks (CLE),0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
